log(Hypoxia/Normoxia)_1	log(Hypoxia/Normoxia)_2	log(Hypoxia/Normoxia)_3	log(Hypoxia/Normoxia)_4
CPAR2_404750	0.878284497	0.797771519	0.6163430085	-1.01370812025
CPAR2_212570	-0.17857647525	-0.27539009025	-0.4810655455	-0.44672248425
CPAR2_302130	-0.00985806275	0.15376347775	0.62063517675	-0.1828200765
CPAR2_209760	0.1037016705	0.06206689675	0.06614045025	-0.012752143
CPAR2_403260	-1.06755965375	-1.03753405575	0.50805599	0.49207048075
CPAR2_209040	0.82660050625	0.76803461025	0.2915859985	0.293170778
CPAR2_804040	0.24606563075	0.04990066975	0.107073599	-0.0928142625
CPAR2_211500	-0.1731635785	-0.00115129725	-0.1678195335	-0.09740631375
CPAR2_102540	-0.133643193	-0.3003846135	-0.138041841	-0.16938182775
CPAR2_109950	-1.0102977805	-1.099382608	-0.66004407175	-0.51007092775
CPAR2_800250	0.57084337175	0.59146527125	0.69433590375	0.300829929
CPAR2_503900	-0.0659916795	-0.00855459624999999	-0.2202820145	-0.24607283125
CPAR2_100740	-0.437998172	-0.3991902615	-0.31417626275	-0.12937890675
CPAR2_206160	-0.283108481	-0.3041657505	-0.3266231065	-0.116876732
CPAR2_101420	-0.48063713125	-0.3855564395	-0.58863371925	-0.65897111675
CPAR2_805280	0.3744639305	0.42103371975	-0.20839992225	-0.14680595275
CPAR2_202350	-0.51817050625	-0.40823284075	-0.2905970825	-0.33397459875
CPAR2_703020	-0.300810462	-0.3095515665	-0.26878873725	-0.43490962175
CPAR2_502480	-0.32780565625	-0.11582129125	-0.2166683475	-0.098696095
CPAR2_100810	-0.16547613725	-0.191674245	-0.27697778475	-0.33075350375
CPAR2_105300	1.49497180675	1.1978982355	0.946154451	0.617931702
CPAR2_407740	0.19525438225	0.309086108	0.0098286535	0.02996848825
CPAR2_802340	-0.33657091475	-0.336729832	-0.26656190775	-0.38191501275
CPAR2_106320	-1.04894520475	-0.57782291425	-0.50523728225	0.09936059925
CPAR2_301210	-0.122927038	-0.0439727525	-0.4123813865	-0.08869602875
CPAR2_302570	-0.74646612975	-0.52428255975	-0.99571804	-0.84819386
CPAR2_503570	-0.2009547255	-0.13277257925	-0.18711548775	0.2000691915
CPAR2_804860	0.1020321125	-0.118426968	-0.11977955125	-0.0803922535
CPAR2_800190	-0.00722632625	0.0345057805	-0.101920614	-0.1335868085
CPAR2_601970	0.7062665605	0.666354609	0.29538906975	0.36930253275
CPAR2_106250	-0.14303998775	-0.247046123	-0.053517006	0.008241866
CPAR2_802900	0.08646819625	0.2535803655	-0.01519720925	0.128357875
CPAR2_602590	0.55864565475	0.27282299825	0.44584771475	0.48373662675
CPAR2_107390	-0.81133126825	-0.83141304025	-0.3683094015	-0.8389239875
CPAR2_603670	-0.695529919	-0.63941684175	-0.35011000975	-0.23855566125
CPAR2_807290	0.1265675235	0.099171636	0.323288204	0.3442709485
CPAR2_103330	-0.273228789	-0.12293536375	0.3349547625	-0.13507816975
CPAR2_106490	0.050914132	0.009849204	-0.310686133	-0.17079626025
CPAR2_108590	0.84323129525	0.62929221	0.628772157	0.65164661725
CPAR2_800730	0.64712233875	0.3954778855	0.05425891275	0.2328804945
CPAR2_102900	-0.02116999525	0.12116873775	-0.22905526575	-0.275058436
CPAR2_500640	-1.282380121	-0.64494452125	-0.7467299595	-0.6775530635
CPAR2_403420	0.9785658745	0.719869454	0.6091672905	0.6391524535
CPAR2_108690	-0.15333247575	-0.1477766575	-0.20299128475	-0.098862156
CPAR2_211060	-0.2150203595	-0.08097493475	-0.09072358375	-0.1354445295
CPAR2_403290	0.25705779075	0.26933955675	0.3422484795	0.22555294225
CPAR2_603270	1.113348685	1.1260612235	1.0058905165	1.0438294295
CPAR2_806300	0.00336300950000001	-0.1011971595	0.00346456725	-0.0829554965
CPAR2_401090	0.6951814195	0.718643761	0.3706772455	0.414175525
CPAR2_800720	-0.57580613225	-0.51233653725	0.09226638025	-0.00955330825
CPAR2_503120	0.21969410825	0.44493021275	-0.15309389675	0.0423923345
CPAR2_600830	-0.95239926675	-1.03037838125	-0.527839561	-0.6548102955
CPAR2_205890	-2.264567492	-2.421142949	-1.1915327155	-1.04413317925
CPAR2_503760	-1.2187002605	-1.14112232925	-0.5315078225	-0.364749296
CPAR2_805090	-0.1860287145	-0.27568086475	-0.0533222845	0.360332881
CPAR2_301550	-0.74779487825	-0.92862901925	-0.0242944785	0.18872466325
CPAR2_808720	1.0592888295	0.972112006	0.6646976245	0.8444405565
CPAR2_406110	0.5003728915	0.2182713865	-0.0712202835	-0.12438187275
CPAR2_700330	0.35044240475	0.481105681	0.2849056955	0.37042906375
CPAR2_302400	-0.10472474425	0.13009281025	-0.0994485695	0.1659189675
CPAR2_703360	-0.0313337585	0.35231902325	0.414994985	0.28709317675
CPAR2_106080	1.38399080625	1.217650534	1.4064130725	1.490911222
CPAR2_402800	-0.198891073	0.01656160375	-0.179212264	0.05503416675
CPAR2_209000	-0.39801695725	-0.42697845975	-0.38286598575	-0.51466788275
CPAR2_304290	-0.44683180025	-0.33702626275	-0.265481796	-0.198862483
CPAR2_210350	0.4390442415	0.215269583	0.131742311	0.1189383245
CPAR2_501970	-0.295379256	-0.245877897	-0.29582670825	-0.220133928
CPAR2_101900	-0.57337916825	-0.65155608725	-0.608212685	-0.541940222
CPAR2_808650	0.063768231	0.017067575	-0.01406700925	-0.0974228155
CPAR2_401850	-0.474692329	-0.004298863	0.615516579	-0.20683365675
CPAR2_214160	0.693812394	0.75567364	0.68889209625	0.69909196225
CPAR2_209250	0.089976351	0.05956459875	0.03230539575	0.066701822
CPAR2_601750	0.20520667575	0.02355335525	0.13184144	-0.0100856785
CPAR2_303950	-0.3620631265	-0.25790665175	0.08019435325	-0.14834706075
CPAR2_504010	0.2998175585	0.23569332975	0.2342315765	0.323240272
CPAR2_808300	-0.013985991	-0.03072689725	-0.4871140405	-0.31110499175
CPAR2_501990	0.1340442025	0.28019450475	0.00308761875	-0.302953728
CPAR2_806670	1.4731959085	0.9391231355	0.84053235525	-0.62414472875
CPAR2_209350	-1.13823619725	-1.2998210935	-1.0039635875	-1.05135860025
CPAR2_204970	1.142020775	1.13683630125	0.68855738275	0.47729740075
